Slice,X,Y,Distance
4,383,975,579.5809
4,16,974,434.2948
4,155,979,465.5599
4,275,973,512.9464
4,98,986,456.6399
4,313,984,543.2357
4,274,1009,543.1731
4,61,998,462.0444
4,77,1002,468.3727
4,339,1001,572.2255
4,357,1000,582.2791
4,125,1005,481.508
4,35,1010,471.3014
4,56,1014,477.2966
4,327,1018,579.1485
4,209,1017,520.7783
4,148,1028,509.949
4,105,1023,494.2813
4,84,1038,505.0347
4,198,1046,543.3599
4,163,1048,533.5101
4,18,1056,516.3139
4,56,1058,521.0182
4,80,1061,527.1063
4,263,1061,583.618
4,47,1072,534.0721
4,157,1074,556.6013
