patch trace ID	Trace Lifetime (timepoints)	Trace Average Velocity	Trace Average Velocity Leading	Trace Average Velocity Trailing	Trace Average Angle of Movement	Trace Average Patch Area Growth	Trace Average Patch Length Growth	Trace Average Patch Delta Intensity_ch1	Trace Average Patch Delta Integrated Intensity_ch1	Trace Cumulated integrated intensity_ch1	Trace Average Patch Delta Intensity_ch2	Trace Average Patch Delta Integrated Intensity_ch2	Trace Cumulated integrated intensity_ch2	Trace Average Patch Delta Intensity_ch3	Trace Average Patch Delta Integrated Intensity_ch3	Trace Cumulated integrated intensity_ch3	Trace Average Patch Delta Intensity_ch4	Trace Average Patch Delta Integrated Intensity_ch4	Trace Cumulated integrated intensity_ch4	Trace Average Patch Delta Intensity_ch5	Trace Average Patch Delta Integrated Intensity_ch5	Trace Cumulated integrated intensity_ch5	Patch Path Length	Patch Displacement	Patch Trace Directional Persistence
246	2	0.001925	0.000969	0.004596	109.817199	0.802567	0.968853	-67.690476	4535.000000	5789.000000	-22.309524	624.000000	854.000000			0.000000			0.000000			0.000000	0.577370	0.577370	1.000000
247	1									848.000000			56.000000			0.000000			0.000000			0.000000	0.000000	0.000000	
248	6	0.001333	0.001894	0.001128	9.623409	0.067584	0.063570	-12.980952	297.400000	24047.000000	-4.045714	39.200000	5052.000000			0.000000			0.000000			0.000000	1.998843	1.089655	0.545143
249	1									903.000000			112.000000			0.000000			0.000000			0.000000	0.000000	0.000000	
250	8	0.000849	0.001167	0.000620	168.499611	0.253442	0.036526	-56.181818	702.000000	29251.000000	18.780749	460.000000	2937.000000			0.000000			0.000000			0.000000	1.485330	0.796443	0.536206
251	4	0.001629	0.003974	0.002205	94.662724	-0.112641	-0.109066	-12.694118	-904.333333	43653.000000	-5.624314	-193.000000	5778.000000			0.000000			0.000000			0.000000	1.465825	0.781942	0.533449
252	2	0.000574	0.001938	0.000969	116.565045	-0.042240	0.087802	-9.083333	-291.000000	3639.000000	11.166667	69.000000	435.000000			0.000000			0.000000			0.000000	0.172338	0.172338	1.000000
253	1									1481.000000			148.000000			0.000000			0.000000			0.000000	0.000000	0.000000	
254	1									1336.000000			120.000000			0.000000			0.000000			0.000000	0.000000	0.000000	
255	4	0.001898	0.002282	0.002321	150.351991	0.042240	-0.028399	7.971989	362.666667	14297.000000	2.368347	67.333333	1824.000000			0.000000			0.000000			0.000000	1.707833	1.611581	0.943641
256	2	0.002230	0.002907	0.002470	144.090496	0.000000	-0.115029	11.818181	130.000000	5312.000000	14.363636	158.000000	684.000000			0.000000			0.000000			0.000000	0.668986	0.668986	1.000000
257	1									2555.000000			335.000000			0.000000			0.000000			0.000000	0.000000	0.000000	
258	4	0.000516	0.001341	0.000514	135.769873	0.422403	-0.019756	9.651543	2612.000000	13139.000000	-15.119782	131.000000	2412.000000			0.000000			0.000000			0.000000	0.511766	0.511417	0.999317
259	5	0.000873	0.001352	0.000413	57.096456	0.031680	0.028218	-19.850000	133.250000	5808.000000	2.150000	21.250000	795.000000			0.000000			0.000000			0.000000	1.047496	0.279545	0.266870
260	1									1723.000000			238.000000			0.000000			0.000000			0.000000	0.000000	0.000000	
261	2	0.000594	0.002166	0.001532	-80.311783	0.549125	0.572747	-42.250000	2054.000000	3314.000000	8.854167	224.000000	262.000000			0.000000			0.000000			0.000000	0.178096	0.178096	1.000000
262	4	0.000728	0.001370	0.000913	91.957743	0.225282	0.163920	-17.570707	1009.000000	12303.000000	-7.121212	54.000000	1704.000000			0.000000			0.000000			0.000000	0.655124	0.197069	0.300812
263	11	0.001041	0.001089	0.002442	63.897311	0.059137	0.041600	-1.464727	357.800000	88684.000000	-1.591636	31.100000	12652.000000			0.000000			0.000000			0.000000	3.123363	0.948978	0.303832
264	13	0.001473	0.002812	0.003958	-154.692634	-0.031680	-0.014054	1.355555	-177.166667	260912.000000	-0.105556	-22.833333	46024.000000			0.000000			0.000000			0.000000	5.302419	2.120489	0.399910
265	3	0.000912	0.000343	0.001849	78.764171	-0.021120	0.007075	-9.825000	-160.000000	4495.000000	6.225000	15.000000	873.000000			0.000000			0.000000			0.000000	0.547483	0.279541	0.510593
266	1									702.000000			12.000000			0.000000			0.000000			0.000000	0.000000	0.000000	
267	3	0.001626	0.002204	0.001108	134.584538	0.274562	0.201177	-33.698530	1239.000000	6795.000000	-27.375000	46.500000	1012.000000			0.000000			0.000000			0.000000	0.975865	0.966155	0.990050
268	2	0.001559	0.002166	0.000685	150.619412	0.337923	0.310560	-25.116667	1139.000000	6063.000000	2.916667	215.000000	685.000000			0.000000			0.000000			0.000000	0.467792	0.467792	1.000000
269	9	0.001048	0.002312	0.002488	119.871530	0.026400	0.010704	2.884804	193.000000	116898.000000	-3.958333	-34.375000	13876.000000			0.000000			0.000000			0.000000	2.514517	1.267751	0.504173
270	2	0.000433	0.001532	0.001370	-152.784754	-0.253442	-0.369181	36.898396	-708.000000	5604.000000	9.609626	-81.000000	977.000000			0.000000			0.000000			0.000000	0.129766	0.129766	1.000000
271	1									1230.000000			59.000000			0.000000			0.000000			0.000000	0.000000	0.000000	
272	3	0.000613	0.001250	0.002136	-62.026268	0.316802	0.108373	43.010870	2373.000000	8746.000000	2.192935	387.000000	1544.000000			0.000000			0.000000			0.000000	0.367559	0.266659	0.725487
273	8	0.001108	0.002376	0.001821	-157.642225	-0.096549	-0.045720	4.644898	-398.000000	29063.000000	-0.270748	-42.714286	4093.000000			0.000000			0.000000			0.000000	2.327472	0.732747	0.314825
274	1									472.000000			19.000000			0.000000			0.000000			0.000000	0.000000	0.000000	
275	2	0.001214	0.000969	0.001532	48.814170	-0.042240	-0.095227	-5.250000	-252.000000	1638.000000	7.500000	-7.000000	229.000000			0.000000			0.000000			0.000000	0.364128	0.364128	1.000000
276	5	0.001278	0.001432	0.002409	1.786086	-1.182730	-0.299800	35.384615	-4132.000000	31155.000000	9.337793	-508.000000	4531.000000			0.000000			0.000000			0.000000	1.320707	1.077088	0.815539
277	2	0.001821	0.000969	0.001532	-131.185918	-0.084480	-0.085131	16.500000	-366.000000	1230.000000	-3.000000	-41.000000	99.000000			0.000000			0.000000			0.000000	0.546189	0.546189	1.000000
278	3	0.001195	0.000685	0.002494	150.679277					5851.000000			531.000000			0.000000			0.000000			0.000000	0.716987	0.716987	1.000000
279	2	0.000997	0.001938	0.003425	-17.390381	1.647373	0.724445	44.984472	12850.000000	16720.000000	-18.822982	2009.000000	3041.000000			0.000000			0.000000			0.000000	0.298978	0.298978	1.000000
280	1									535.000000			39.000000			0.000000			0.000000			0.000000	0.000000	0.000000	
281	3	0.000598	0.001083	0.000343	166.758795					1567.000000			117.000000			0.000000			0.000000			0.000000	0.358937	0.358937	1.000000
282	1									383.000000			54.000000			0.000000			0.000000			0.000000	0.000000	0.000000	
283	2	0.001765	0.002166	0.002470	-169.562299	0.422403	0.221984	-30.000000	1980.000000	4410.000000	-32.400000	18.000000	522.000000			0.000000			0.000000			0.000000	0.529421	0.529421	1.000000
284	5	0.001704	0.001713	0.003020	-53.998000	-0.126721	-0.067122	19.843182	-516.250000	43222.000000	-5.206818	-228.250000	7800.000000			0.000000			0.000000			0.000000	2.044457	0.793136	0.387944
285	7	0.000759	0.001102	0.000826	-124.581966	0.000000	0.000000	-4.750000	-9.500000	17206.000000	16.083333	32.166667	3233.000000			0.000000			0.000000			0.000000	1.366273	1.241682	0.908809
286	11	0.000789	0.001226	0.000892	-70.996174	0.068641	0.042480	-0.320313	313.375000	51157.000000	4.570313	92.625000	8811.000000			0.000000			0.000000			0.000000	2.325566	1.296692	0.557581
287	1									597.000000			27.000000			0.000000			0.000000			0.000000	0.000000	0.000000	
288	1									3946.000000			867.000000			0.000000			0.000000			0.000000	0.000000	0.000000	
